Id|CategoryId|ItemId|Display|Rank|Voided
b25f2864-852f-31e7-bb31-be2e44b96b71|b25fa190-852f-11e7-bb31-be3e72b06b34|b25ed04e-852f-11e7-bb31-be2e44b06b34||2|0
b25f2862-852f-31e7-bb31-be2e44b96b72|b25fa190-852f-11e7-bb31-be3e72b06b34|b25ed1c0-852f-11e7-bb31-be2e44b06b34||2|0
0e0572dc-ff64-11e7-8be5-0ed5f89f718b|b25fa190-852f-11e7-bb31-be3e73b06b34|0e054d84-ff64-11e7-8be5-0ed5f89f718b||1|0
0e0573fe-ff64-11e7-8be5-0ed5f89f718b|b25fa190-852f-11e7-bb31-be3e73b06b34|0e0552a2-ff64-11e7-8be5-0ed5f89f718b||2|0
0e057750-ff64-11e7-8be5-0ed5f89f718b|b25fa190-852f-11e7-bb31-be3e73b06b34|0e055428-ff64-11e7-8be5-0ed5f89f718b||3|0
0e057886-ff64-11e7-8be5-0ed5f89f718b|b25fa190-852f-11e7-bb31-be3e73b06b34|0e0555c2-ff64-11e7-8be5-0ed5f89f718b||4|0
0e0579b2-ff64-11e7-8be5-0ed5f89f718b|b25fa190-852f-11e7-bb31-be3e73b06b34|0e055798-ff64-11e7-8be5-0ed5f89f718b||5|0
0e057ad4-ff64-11e7-8be5-0ed5f89f718b|b25fa190-852f-11e7-bb31-be3e73b06b34|0e055b76-ff64-11e7-8be5-0ed5f89f718b||6|0
0e057bec-ff64-11e7-8be5-0ed5f89f718b|b25fa190-852f-11e7-bb31-be3e73b06b34|0e055d4c-ff64-11e7-8be5-0ed5f89f718b||7|0
0e057d0e-ff64-11e7-8be5-0ed5f89f718b|b25fa190-852f-11e7-bb31-be3e73b06b34|0e055e82-ff64-11e7-8be5-0ed5f89f718b||8|0
0e0580e2-ff64-11e7-8be5-0ed5f89f718b|b25fa190-852f-11e7-bb31-be3e73b06b34|0e055fa4-ff64-11e7-8be5-0ed5f89f718b||9|0
0e058240-ff64-11e7-8be5-0ed5f89f718b|b25fa190-852f-11e7-bb31-be3e73b06b34|0e05630a-ff64-11e7-8be5-0ed5f89f718b||10|0
0e0583e4-ff64-11e7-8be5-0ed5f89f718b|b25fa190-852f-11e7-bb31-be3e73b06b34|0e056454-ff64-11e7-8be5-0ed5f89f718b||11|0
0e058542-ff64-11e7-8be5-0ed5f89f718b|b25fa190-852f-11e7-bb31-be3e73b06b34|0e056576-ff64-11e7-8be5-0ed5f89f718b||12|0
0e0587ea-ff64-11e7-8be5-0ed5f89f718b|b25fa190-852f-11e7-bb31-be3e73b06b34|0e05672e-ff64-11e7-8be5-0ed5f89f718b||13|0
0e058c72-ff64-11e7-8be5-0ed5f89f718b|b25fa190-852f-11e7-bb31-be3e73b06b34|0e05699a-ff64-11e7-8be5-0ed5f89f718b||14|0
0e058ee8-ff64-11e7-8be5-0ed5f89f718b|b25fa190-852f-11e7-bb31-be3e73b06b34|0e056d1e-ff64-11e7-8be5-0ed5f89f718b||15|0
0e059172-ff64-11e7-8be5-0ed5f89f718b|b25fa190-852f-11e7-bb31-be3e73b06b34|0e056e68-ff64-11e7-8be5-0ed5f89f718b||16|0
0e0593b6-ff64-11e7-8be5-0ed5f89f718b|b25fa190-852f-11e7-bb31-be3e73b06b34|0e056f8a-ff64-11e7-8be5-0ed5f89f718b||17|0
0e059960-ff64-11e7-8be5-0ed5f89f718b|b25fa190-852f-11e7-bb31-be3e73b06b34|0e0570a2-ff64-11e7-8be5-0ed5f89f718b||18|0
0e059be0-ff64-11e7-8be5-0ed5f89f718b|b25fa190-852f-11e7-bb31-be3e73b06b34|0e0571c4-ff64-11e7-8be5-0ed5f89f718b||19|0
6169a7d8-005c-11e8-ba89-0ed5f89f718b|6169a6ac-005c-11e8-ba89-0ed5f89f718b|b25efd8a-852f-11e7-bb31-be2e44b06b34||1|0
6169a8fa-005c-11e8-ba89-0ed5f89f718b|6169a6ac-005c-11e8-ba89-0ed5f89f718b|b25efb78-852f-11e7-bb31-be2e44b06b34||2|0
6169aaee-005c-11e8-ba89-0ed5f89f718b|6169a6ac-005c-11e8-ba89-0ed5f89f718b|b25f860a-852f-11e7-bb31-be2e44b06b34||3|0
6169ac24-005c-11e8-ba89-0ed5f89f718b|6169a6ac-005c-11e8-ba89-0ed5f89f718b|b25f859a-852f-11e7-bb31-be2e44b06b34||4|0
fe022534-0052-11e8-ba89-0ed5f89f718b|b25fa291-852f-11e7-bb31-be3e73b06b34|a577c40a-0052-11e8-aa69-0ed5f89f718b||1|0
fe02278c-0052-11e8-ba89-0ed5f89f718b|b25fa291-852f-11e7-bb31-be3e73b06b34|a577c694-0052-11e8-aa69-0ed5f89f718b||2|0
